city,week_key,n_posts,mean_polarity,median_polarity,pct_negative,pct_positive,n_posts_crime,mean_polarity_crime,median_polarity_crime,pct_negative_crime,pct_positive_crime
Edmonton,2010-W51,1.0,0.17525510204081635,0.17525510204081635,0.0,1.0,,,,,
Edmonton,2010-W52,1.0,0.11203703703703703,0.11203703703703703,0.0,1.0,,,,,
Edmonton,2011-W01,4.0,0.10470408240428658,0.08212250273672687,0.0,0.5,2.0,0.22912542671333508,0.22912542671333508,0.0,1.0
Edmonton,2011-W02,1.0,0.18932411674347163,0.18932411674347163,0.0,1.0,1.0,0.18932411674347163,0.18932411674347163,0.0,1.0
Edmonton,2011-W04,1.0,-0.027777777777777773,-0.027777777777777773,0.0,0.0,1.0,-0.027777777777777773,-0.027777777777777773,0.0,0.0
Edmonton,2011-W08,2.0,-0.1790777674706246,-0.1790777674706246,0.5,0.5,,,,,
Edmonton,2011-W09,1.0,0.0,0.0,0.0,0.0,,,,,
Edmonton,2011-W11,4.0,0.09070817299983966,0.08141634599967933,0.25,0.5,2.0,-0.12708333333333333,-0.12708333333333333,0.5,0.0
Edmonton,2011-W12,2.0,0.014285964806798142,0.014285964806798142,0.0,0.0,1.0,-0.002686938832772173,-0.002686938832772173,0.0,0.0
Edmonton,2011-W13,1.0,0.043354018084233926,0.043354018084233926,0.0,0.0,1.0,0.043354018084233926,0.043354018084233926,0.0,0.0
Edmonton,2011-W15,2.0,-0.08133116883116881,-0.08133116883116881,0.5,0.5,1.0,-0.22499999999999995,-0.22499999999999995,1.0,0.0
Edmonton,2011-W16,3.0,-0.021633748196248193,0.004543199855699862,0.3333333333333333,0.0,3.0,-0.021633748196248193,0.004543199855699862,0.3333333333333333,0.0
Edmonton,2011-W19,3.0,-0.032050509504213204,-0.09000000000000001,0.6666666666666666,0.3333333333333333,2.0,-0.1417058147613703,-0.1417058147613703,1.0,0.0
Edmonton,2011-W20,1.0,0.17760683760683751,0.17760683760683751,0.0,1.0,1.0,0.17760683760683751,0.17760683760683751,0.0,1.0
Edmonton,2011-W22,3.0,0.07751322751322749,0.02976190476190475,0.0,0.3333333333333333,1.0,0.02976190476190475,0.02976190476190475,0.0,0.0
Edmonton,2011-W24,1.0,0.20038427755819063,0.20038427755819063,0.0,1.0,,,,,
Edmonton,2011-W25,5.0,-0.019959285699650813,-0.013130570409982164,0.4,0.4,3.0,-0.06205275370336222,-0.013130570409982164,0.3333333333333333,0.3333333333333333
Edmonton,2011-W26,1.0,0.005546327057954967,0.005546327057954967,0.0,0.0,,,,,
Edmonton,2011-W27,3.0,0.16274305555555554,0.16666666666666666,0.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,1.0
Edmonton,2011-W28,1.0,0.01777777777777777,0.01777777777777777,0.0,0.0,,,,,
Edmonton,2011-W29,8.0,-0.045789990680615705,-0.022048611111111116,0.25,0.375,3.0,-0.02709986772486773,-0.030555555555555558,0.0,0.0
Edmonton,2011-W30,2.0,0.04893308080808081,0.04893308080808081,0.0,0.5,,,,,
Edmonton,2011-W31,7.0,0.019956572242642478,0.021457809386380814,0.2857142857142857,0.42857142857142855,5.0,0.022383645584143918,0.021457809386380814,0.2,0.4
Edmonton,2011-W32,1.0,0.051094276094276095,0.051094276094276095,0.0,1.0,,,,,
Edmonton,2011-W38,2.0,0.08220721828676375,0.08220721828676375,0.0,0.5,1.0,0.12152777777777779,0.12152777777777779,0.0,1.0
Edmonton,2011-W39,1.0,0.0482077922077922,0.0482077922077922,0.0,0.0,,,,,
Edmonton,2011-W40,3.0,0.17648083224645725,-0.00477972548285049,0.3333333333333333,0.3333333333333333,1.0,-0.06577777777777778,-0.06577777777777778,1.0,0.0
Edmonton,2011-W41,1.0,-0.02857142857142858,-0.02857142857142858,0.0,0.0,1.0,-0.02857142857142858,-0.02857142857142858,0.0,0.0
