city,year_month,n_posts,mean_polarity,median_polarity,pct_negative,pct_positive,pct_neutral,n_posts_crime,mean_polarity_crime,median_polarity_crime,pct_negative_crime,pct_positive_crime,pct_neutral_crime
Edmonton,2011-02,3.0,-0.11938517831374977,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,
Edmonton,2011-03,7.0,0.062108377099598426,0.0312588684463684,0.14285714285714285,0.2857142857142857,0.5714285714285714,4.0,-0.053374896853801174,-0.01592680274971935,0.25,0.0,0.75
Edmonton,2011-04,5.0,-0.04551271645021646,0.0045431998556998,0.4,0.2,0.4,4.0,-0.07247531114718615,-0.0539784000721501,0.5,0.0,0.5
Edmonton,2011-05,4.0,0.02036382727354947,0.043803418803418745,0.5,0.5,0.0,3.0,-0.0352682639719677,-0.09,0.6666666666666666,0.3333333333333333,0.0
Edmonton,2011-06,10.0,0.033867385865757396,0.0176541159099298,0.2,0.4,0.4,4.0,-0.03909908908704548,0.0083156671759613,0.25,0.25,0.5
Edmonton,2011-07,14.0,0.016968084329691446,0.03467013888888885,0.14285714285714285,0.5,0.35714285714285715,4.0,0.0213417658730159,-0.02204861111111105,0.0,0.25,0.75
Edmonton,2011-08,8.0,0.023848785224096673,0.0362760427403284,0.25,0.5,0.25,5.0,0.022383645584143907,0.0214578093863808,0.2,0.4,0.4
Edmonton,2011-09,3.0,0.07087407626043987,0.0482077922077922,0.0,0.3333333333333333,0.6666666666666666,1.0,0.1215277777777777,0.1215277777777777,0.0,1.0,0.0
Edmonton,2011-10,10.0,0.13202915550884303,0.08126398341242094,0.3,0.5,0.2,7.0,0.05278796071653217,-0.0285714285714285,0.42857142857142855,0.42857142857142855,0.14285714285714285
Edmonton,2011-11,17.0,0.07076509049320087,0.0982882395382395,0.11764705882352941,0.6470588235294118,0.23529411764705882,11.0,0.0717654790299451,0.0982882395382395,0.09090909090909091,0.6363636363636364,0.2727272727272727
Edmonton,2011-12,13.0,0.10732504115534629,0.1232142857142857,0.0,0.9230769230769231,0.07692307692307693,6.0,0.10648190823181862,0.1240562909312909,0.0,1.0,0.0
Edmonton,2012-01,17.0,0.08886134973941345,0.0764285714285714,0.058823529411764705,0.6470588235294118,0.29411764705882354,11.0,0.08414973827379132,0.0714347718253968,0.09090909090909091,0.5454545454545454,0.36363636363636365
Edmonton,2012-02,12.0,0.1135840163826981,0.091120559334845,0.08333333333333333,0.8333333333333334,0.08333333333333333,7.0,0.09770781647877087,0.091120559334845,0.14285714285714285,0.8571428571428571,0.0
Edmonton,2012-03,17.0,0.09755867024315326,0.1007099500567738,0.0,0.7647058823529411,0.23529411764705882,14.0,0.0914832309872,0.09243296648137836,0.0,0.7142857142857143,0.2857142857142857
