Date,City,Temperature_C_max,Temperature_C_min,Dew_Point_C_mean,Relative_Humidity_Pct_mean,Rain_mm_sum,Snow_cm_sum,Snow_On_Ground_cm_mean,Wind_Speed_kmh_mean,Max_Gust_Speed_kmh_max,Station_Pressure_kPa_mean,Visibility_km_mean,Cooling_Degree_Days_sum,Heating_Degree_Days_sum,Humidex_mean,Wind_Chill_mean
2020-04-30,Regina,9.096666666666666,-7.64,-7.767916666666666,56.74583333333333,0.0,0.0,,19.586111111111112,85.0,94.56305555555555,,0.0,518.3,25.0,-10.101718301590425
2020-05-31,Regina,19.716129032258067,3.2,-0.15362903225806449,48.505376344086024,0.0,0.0,,19.728494623655916,88.0,94.77787634408602,,9.100000000000001,211.9,28.09259259259259,-5.7559523809523805
2020-06-30,Regina,22.983333333333334,9.196666666666665,6.855277777777777,58.11805555555556,0.0,0.0,,20.894444444444446,81.0,94.22248611111111,,20.3,77.6,26.95835275835276,
2020-07-31,Regina,25.58,11.413333333333332,12.178333333333335,67.62741935483871,0.0,0.0,,16.41559139784946,89.0,94.43251075268817,,34.6,20.0,27.476255855255854,
2020-08-31,Regina,28.287096774193547,9.764516129032257,7.85766129032258,52.659946236559136,0.0,0.0,,15.668010752688172,66.0,94.48051075268818,,58.8,27.3,27.61650197628458,
2020-09-30,Regina,20.18,4.53,2.377222222222222,54.270833333333336,0.0,0.0,,19.37222222222222,76.0,94.70844444444444,,1.0,170.3,25.916666666666664,-3.45
2020-10-31,Regina,8.012903225806452,-4.658064516129032,-5.626612903225807,59.973118279569896,0.0,0.0,,19.061827956989244,82.0,94.69322580645162,,0.0,505.9,,-9.995476697215828
2020-11-30,Regina,0.8724137931034485,-10.03103448275862,-8.725458937198066,75.00833333333334,0.0,0.0,0.8,18.060144927536232,76.0,94.29266666666666,,0.0,654.9,,-12.418944576603982
2020-12-31,Regina,-3.3096774193548386,-14.325806451612904,-11.29986559139785,79.46908602150538,0.0,0.0,2.2,15.126344086021506,77.0,94.6368682795699,,0.0,830.9,,-14.775152096574356
2021-01-31,Regina,-5.679310344827586,-15.203448275862069,-12.780779569892472,78.36962365591398,0.0,0.0,1.9655172413793103,19.529569892473116,76.0,94.61763440860214,,0.0,825.0,,-16.921953994862204
2021-02-28,Regina,-13.846428571428572,-24.150000000000002,-22.664285714285715,71.03422619047619,0.0,0.0,0.8421052631578947,18.735119047619047,64.0,94.83684523809525,,0.0,1036.1,,-27.826487538014995
2021-03-31,Regina,6.435483870967742,-7.212903225806452,-6.355779569892473,66.63575268817205,0.0,0.0,,20.22983870967742,85.0,94.57899193548387,,0.0,569.8,,-10.214955791432994
2021-04-30,Regina,11.84,-4.02,-7.161388888888889,50.395833333333336,0.0,0.0,1.0,18.54722222222222,61.0,94.751625,,0.0,422.8,,-7.64763630089717
2021-05-31,Regina,18.1,1.8064516129032258,-3.170161290322581,44.58333333333333,0.0,0.0,,18.642473118279568,77.0,94.86028225806452,,7.4,256.9,27.09523809523809,-5.171875
2021-06-30,Regina,25.85,10.020000000000001,7.058472222222222,51.56805555555556,0.0,0.0,,18.279166666666665,82.0,94.44490277777778,,47.5,49.3,27.668964183964185,
2021-07-31,Regina,29.114285714285717,14.228571428571428,11.440710120321842,55.63619559065968,0.0,0.0,,15.332792008070667,70.0,94.7709547316749,,105.1,2.3000000000000003,28.385423478789846,
2021-08-31,Regina,24.84193548387097,10.787096774193548,8.755779569892473,60.659946236559136,0.0,0.0,,15.951612903225806,79.0,94.46330645161291,,54.0,59.7,27.9585347985348,
2021-09-30,Regina,22.84333333333333,4.863333333333333,2.767361111111111,51.86666666666667,0.0,0.0,,15.752777777777776,80.0,94.41175,,8.9,133.4,26.56597222222222,-4.833333333333333
2021-10-31,Regina,13.53103448275862,0.020689655172413782,-1.2820071684587815,63.30940860215054,0.0,0.0,0.0,17.632347670250894,69.0,94.55569713261649,,0.0,325.3,25.0,-6.259473865303697
2021-11-30,Regina,3.24,-7.846666666666667,-6.7501388888888885,74.27777777777779,0.0,0.0,0.25,18.96388888888889,87.0,94.526875,,0.0,609.3,,-10.64500266327
2021-12-31,Regina,-9.493548387096775,-20.796774193548387,-18.70779569892473,72.3225806451613,0.0,0.0,0.9615384615384616,17.719086021505376,71.0,94.07038978494623,,0.0,1027.4,,-23.01127857535126
2022-01-31,Regina,-8.390322580645162,-21.287096774193547,-18.42284946236559,74.81854838709677,0.0,0.0,3.129032258064516,20.36962365591398,88.0,94.73068548387097,,0.0,1018.2,,-23.76436398648881
2022-02-28,Regina,-9.728571428571428,-21.885714285714283,-19.492708333333333,72.79761904761905,0.0,0.0,3.607142857142857,20.416666666666664,80.0,95.04395833333332,,0.0,946.7,,-24.99457051101073
2022-03-31,Regina,-1.164516129032258,-10.774193548387096,-9.7375,73.54838709677419,0.0,0.0,7.1875,20.631720430107528,79.0,94.68805107526882,,0.0,743.0,,-13.811972485780872
2022-04-30,Regina,5.866666666666666,-3.9466666666666668,-5.229027777777778,66.05694444444444,0.0,0.0,,22.508333333333333,71.0,94.58869444444444,,0.0,511.2,,-8.624103796688614
2022-05-31,Regina,18.706451612903226,3.9193548387096775,1.6192204301075268,56.744623655913976,0.0,0.0,,20.56451612903226,74.0,94.16592741935484,,0.0,207.4,25.0,-3.694444444444444
2022-06-30,Regina,24.24137931034483,8.579310344827586,5.908527777777778,53.76472222222222,0.0,0.0,,18.573333333333334,75.0,94.35301944444444,,22.799999999999997,68.8,26.961730945821856,-3.5
2022-07-31,Regina,26.299999999999997,12.419354838709678,11.993548387096775,65.02016129032258,0.0,0.0,,15.196236559139784,63.0,94.63125,,61.8,19.7,28.295985060690946,
2022-08-31,Regina,27.193548387096776,12.364516129032259,11.779301075268817,63.68010752688172,0.0,0.0,,14.80241935483871,83.0,94.67645161290322,,67.9,12.6,28.28044633144633,
2022-09-30,Regina,23.176666666666666,6.34,3.8793055555555553,53.61944444444444,0.0,0.0,,17.883333333333333,76.0,94.73536111111112,,24.9,122.3,28.11543209876543,-5.25
2022-10-31,Regina,12.535483870967743,-0.8419354838709677,-2.1423387096774196,62.10215053763441,0.0,0.0,1.75,18.129032258064516,82.0,94.65072580645162,,0.0,376.8,,-5.823297951730446
2022-11-30,Regina,-0.7590909090909093,-10.304545454545455,-10.992678590148355,77.30552193594309,0.0,0.0,,21.06866102640349,92.0,94.65972882909386,,0.0,517.5,,-15.879106993686623
2022-12-31,Regina,-13.029032258064515,-21.14516129032258,-20.19798387096774,75.16801075268818,0.0,0.0,6.411764705882353,19.452956989247312,70.0,94.76135752688171,,0.0,1087.8,,-25.848619181192813
2023-01-31,Regina,-8.196774193548388,-16.451612903225808,-14.630779569892473,80.89247311827957,0.0,0.0,11.483870967741936,13.926075268817204,88.0,94.54291666666667,,0.0,940.3,,-18.628794369659616
2023-02-28,Regina,-6.767857142857143,-18.007142857142856,-15.691666666666666,75.01934523809523,0.0,0.0,13.75,17.44047619047619,57.0,94.37450892857143,,0.0,851.0,,-19.673514985704426
2023-03-31,Regina,-6.016,-17.02,-14.654876543209877,74.27134038800706,0.0,0.0,18.53846153846154,18.577204585537917,72.0,94.89891181657849,,0.0,738.0,,-18.25740804641771
2023-04-30,Regina,5.653333333333333,-5.156666666666666,-5.261666666666667,69.025,0.0,0.0,6.181818181818182,19.354166666666668,68.0,94.68216666666667,,0.0,532.7,,-9.494815307372516
2023-05-31,Regina,22.596774193548388,7.216129032258064,4.70497311827957,53.99327956989247,0.0,0.0,,16.916666666666664,62.0,94.81016129032257,,8.3,104.0,26.01875,-3.25
2023-06-30,Regina,26.686666666666667,12.536666666666667,10.032222222222224,56.733333333333334,0.0,0.0,,14.808333333333334,83.0,94.51879166666666,,60.7,12.1,27.5608690147224,
2023-07-31,Regina,26.074193548387097,10.258064516129032,8.774193548387096,56.86424731182796,0.0,0.0,,15.541666666666668,61.0,94.6509005376344,,46.9,41.8,27.5873746735771,
2023-08-31,Regina,26.374193548387098,10.825806451612902,9.373252688172043,59.29435483870968,0.0,0.0,,15.442204301075268,78.0,94.68725806451613,,50.5,32.199999999999996,27.497816997816997,
2023-09-30,Regina,23.548275862068966,6.779310344827586,5.638138888888889,58.723055555555554,0.0,0.0,,15.764999999999999,58.0,94.68485000000001,,11.7,93.9,26.856172839506172,-3.0
2023-10-31,Regina,10.2,-2.0677419354838706,-1.6368279569892474,68.18548387096774,0.0,0.0,0.5357142857142857,18.206989247311828,68.0,94.90604838709677,,0.0,431.9,,-10.259615384615385
2023-11-30,Regina,1.8266666666666667,-7.196666666666667,-6.087264492753623,76.79601449275361,0.0,0.0,1.8333333333333333,17.32934782608696,69.0,94.59481461352657,,0.0,620.5,,-9.104227427468766
2023-12-31,Regina,1.7032258064516128,-10.096774193548388,-8.470967741935485,75.11424731182795,0.0,0.0,0.8,15.315860215053764,66.0,94.62658602150537,,0.0,688.5,,-11.27362960395771
2024-01-31,Regina,-9.05,-18.493333333333332,-17.66660557184751,75.23154936461388,0.0,0.0,2.0,16.87658846529814,56.0,94.75776148582601,,0.0,953.3,,-22.756536892669434
2024-02-29,Regina,-2.4310344827586206,-12.620689655172415,-10.254454022988506,78.71264367816092,0.0,0.0,,17.69971264367816,56.0,94.34918103448275,,0.0,740.1,,-14.561544243911394
2024-03-31,Regina,-2.0451612903225804,-12.464516129032257,-12.375537634408602,66.91263440860214,0.0,0.0,5.090909090909091,17.526881720430108,64.0,94.78692204301075,,0.0,783.0,,-13.890666509740845
2024-04-30,Regina,14.573333333333332,-1.1466666666666667,-4.002083333333333,51.65555555555556,0.0,0.0,,22.033333333333335,76.0,94.36644444444444,,0.0,338.6,,-7.164136604136604
